id,legacyId,firstName,lastName,avgRating,numRatings,wouldTakeAgainPercent,avgDifficulty,department
VGVhY2hlci0yMTY0ODY3,2164867,Brenda,Webster-Tweel,0.0,0,-1.0,0.0,Architecture
VGVhY2hlci0zMDcwMjM2,3070236,Monica,Hutton,0.0,0,-1.0,0.0,Architecture
VGVhY2hlci0zMTE0MDM5,3114039,Parastoo,Anoushapour,0.0,0,-1.0,0.0,Architecture
VGVhY2hlci0yODgwMTMw,2880130,Kanwal,Aftab,0.0,0,-1.0,0.0,Architecture
VGVhY2hlci0yNTQzMzMx,2543331,Richard,Sommer,0.0,0,-1.0,0.0,Architecture
VGVhY2hlci0yODQ4NjM4,2848638,Samantha,Chang,4.8,6,100.0,1.5,Art History
VGVhY2hlci0zMTU1NzQz,3155743,Stephanie,Azzarello,2.6,7,28.5714,4.0,Art History
VGVhY2hlci0zMTI4MzM5,3128339,Pierre,Marty,1.1,13,0.0,4.7,Art History
VGVhY2hlci0yOTAwMjk5,2900299,Philip,Sapirstein,4.0,3,66.6667,4.0,Art History
VGVhY2hlci0zMTQ3MjA5,3147209,Maya,Harakawa,5.0,1,100.0,1.0,Art History
VGVhY2hlci0zMDEzMjQ5,3013249,rhiannon ,vogl,1.0,2,0.0,5.0,Art History
VGVhY2hlci0yOTkwMDI2,2990026,Ivana,Dizdar,5.0,5,100.0,2.4,Art History
VGVhY2hlci0zMDc5MDIx,3079021,Claudia,Paparella,5.0,7,100.0,2.6,Art History
VGVhY2hlci04NzkzNDA=,879340,E,Legge,5.0,2,100.0,2.0,Art History
VGVhY2hlci0yOTE5OTYy,2919962,Scott, Schwartz,1.0,1,0.0,3.0,Art History
VGVhY2hlci0zMDI1MzMz,3025333,Ariella ,Minden,2.0,2,50.0,3.5,Art History
VGVhY2hlci0zMDA2MTI4,3006128,Christina ,Katsougiannopoulou,5.0,1,100.0,3.0,Art History
VGVhY2hlci0yMzIxMzM4,2321338,Sasha,Gorjeltchan,2.7,3,33.3333,4.0,Art History
VGVhY2hlci0yODA0NjE2,2804616,Maya,Sanchez,0.0,0,-1.0,0.0,Art History
VGVhY2hlci0yOTA3NTE3,2907517,Tia,Sager,0.0,0,-1.0,0.0,Art History
VGVhY2hlci0yODYxODE0,2861814,Jessice,Mace,0.0,0,-1.0,0.0,Art History
VGVhY2hlci0zMDA3ODM2,3007836,Rory,Lindsay,5.0,13,100.0,1.4,Religion
VGVhY2hlci0yOTg0MTkz,2984193,Tyler,Paul,3.7,50,65.3061,3.6,Economics
VGVhY2hlci0yOTY4ODk3,2968897,Cho Yin,Yong,3.5,8,62.5,3.8,Computer Science
VGVhY2hlci0yOTc5OTQ1,2979945,Sara,Verskin,3.0,7,42.8571,3.1,History
VGVhY2hlci0zMDg4NDc0,3088474,Andrey,Gornostaev,5.0,1,100.0,3.0,History
VGVhY2hlci0zMTQwNjY0,3140664,Omar,Alshawa,2.5,2,0.0,2.5,Mathematics
VGVhY2hlci0zMDMyMTc0,3032174,Matthew,Robbins ,2.7,111,40.5405,3.5,Physics
